timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772396112348,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396112349,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396112375,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396112441,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396112443,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396112466,90,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,90,0,0
1772396112536,96,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,96,0,0
1772396112536,96,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,96,0,0
1772396112557,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396112632,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396112632,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396112648,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396112725,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396112726,96,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,96,0,0
1772396112740,90,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,90,0,0
1772396112823,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396112823,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396112831,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
